referrerid_profileid,Full_Name,phone,city_hometown,house_type,bhk_details,bed_count,furnishing_type
NULL,"anusha pariti",8105987404,Bangalore,Independent,"4 BHK",4,fully-furnished
NULL,"Garima yadav",81059237004,Bangalore,Apartment,"3 BHK",5,unfurnished
NULL,"Kamal gera",8105987404,Bangalore,Apartment,"3 BHK",3,semifurnished
NULL,"Tushar kapoor",8926537154,Pune,Apartment,"3 BHK",3,semifurnished
NULL,"Deepa sudhakar",7896785432,Pune,Independent,"3 BHK",3,fully-furnished
NULL,"Manisha Yadav",9867845182,Delhi,Independent,"2 BHK",2,fully-furnished
NULL,"Shivani godha",9878673428,Delhi,Independent,"2 BHK",4,unfurnished
NULL,"Rajan pandey",8987647811,delhi,Independent,"3 BHK",3,fully-furnished
NULL,"Roosena manuel",9875623345,Delhi,Apartment,"3 BHK",3,fully-furnished
NULL,"Prabhjot gill",9800786688,Delhi,Apartment,"3 BHK",3,fully-furnished
NULL,"Ankita sharma",9988789656,Delhi,Independent,"1 BHK",2,unfurnished
